period,since,until,shopify_orders,shopify_net_sales_zar,shopify_aov_zar,meta_spend_zar,meta_attributed_purchases,meta_attributed_value_zar,meta_purchase_share_of_orders,meta_value_share_of_net_sales,net_sales_per_meta_rand,source,google_ads_spend_zar,blended_meta_plus_google_spend_zar,MER_net_sales_over_blended_spend,meta_share_of_blended_spend
L7,2026-08-30,2026-09-05,297,239995.75,808.07,15725.43,175,143236.5,0.589,0.597,15.26,"Shopify run-analytics-query FROM sales TIMESERIES day (net_sales excludes shipping/tax); Meta account-level rows; captured 2026-09-06 10:55 UTC; Google Ads customer 8510842703 (Pastry Skincare, ZAR) metrics.cost_micros by segments.date (Google Ads MCP), captured 2026-09-06 10:59 UTC; MER excludes any other paid channel (NOT VERIFIED whether others exist)",2857.79,18583.22,12.91,0.846
P7,2026-08-23,2026-08-29,284,233918.75,823.66,11657.17,157,133533.25,0.553,0.571,20.07,"Shopify run-analytics-query FROM sales TIMESERIES day (net_sales excludes shipping/tax); Meta account-level rows; captured 2026-09-06 10:55 UTC; Google Ads customer 8510842703 (Pastry Skincare, ZAR) metrics.cost_micros by segments.date (Google Ads MCP), captured 2026-09-06 10:59 UTC; MER excludes any other paid channel (NOT VERIFIED whether others exist)",1947.03,13604.2,17.19,0.857
L28,2026-08-09,2026-09-05,1010,819508.75,811.39,47054.41,568,475891.25,0.562,0.581,17.42,"Shopify run-analytics-query FROM sales TIMESERIES day (net_sales excludes shipping/tax); Meta account-level rows; captured 2026-09-06 10:55 UTC; Google Ads customer 8510842703 (Pastry Skincare, ZAR) metrics.cost_micros by segments.date (Google Ads MCP), captured 2026-09-06 10:59 UTC; MER excludes any other paid channel (NOT VERIFIED whether others exist)",9381.31,56435.72,14.52,0.834
P28,2026-07-12,2026-08-08,1066,874686.25,820.53,54589.64,586,494150.28,0.55,0.565,16.02,"Shopify run-analytics-query FROM sales TIMESERIES day (net_sales excludes shipping/tax); Meta account-level rows; captured 2026-09-06 10:55 UTC; Google Ads customer 8510842703 (Pastry Skincare, ZAR) metrics.cost_micros by segments.date (Google Ads MCP), captured 2026-09-06 10:59 UTC; MER excludes any other paid channel (NOT VERIFIED whether others exist)",20103.54,74693.18,11.71,0.731
L90,2026-06-08,2026-09-05,3574,2951434.75,825.81,192590.65,2085,1780392.03,0.583,0.603,15.32,"Shopify run-analytics-query FROM sales TIMESERIES day (net_sales excludes shipping/tax); Meta account-level rows; captured 2026-09-06 10:55 UTC; Google Ads customer 8510842703 (Pastry Skincare, ZAR) metrics.cost_micros by segments.date (Google Ads MCP), captured 2026-09-06 10:59 UTC; MER excludes any other paid channel (NOT VERIFIED whether others exist)",57275.08,249865.73,11.81,0.771
