adset_name,three_second_plays,thruplays,video_plays,impressions,hook_3s_per_play,hook_3s_per_impression,hold_thruplay_per_3s,source
PASTRY_W3_ZA_SHOPPING_INTENT_TEST,16599,7057,44241,47040,0.375,0.353,0.425,ads_get_ad_entities level=adset 2026-08-09..2026-09-05
PASTRY_W2_ZA_SOCIAL30_TEST,9059,3279,31774,34519,0.285,0.262,0.362,ads_get_ad_entities level=adset 2026-08-09..2026-09-05
PASTRY_W1_ZA_FULL_SIGNAL_TEST,12604,4641,40432,42968,0.312,0.293,0.368,ads_get_ad_entities level=adset 2026-08-09..2026-09-05
PASTRY_A2_ZA_SOCIAL_SIGNALS_UNION,59952,20613,157663,169054,0.38,0.355,0.344,ads_get_ad_entities level=adset 2026-08-09..2026-09-05
PASTRY_A1_ZA_BROAD_NEW_EXCL_SIGNALS,56960,17330,140930,148687,0.404,0.383,0.304,ads_get_ad_entities level=adset 2026-08-09..2026-09-05
PASTRY_W1_Broad_Creative_Test_5Ads,5163,2031,15459,16646,0.334,0.31,0.393,ads_get_ad_entities level=adset 2026-08-09..2026-09-05
AS2_Body_Care_Broad,13331,2986,44002,48443,0.303,0.275,0.224,ads_get_ad_entities level=adset 2026-08-09..2026-09-05
