concept_key_ig_media_or_creative,ads_using,ad_names,spend_zar,impressions,outbound_clicks,lpv,atc,ic,purchases,purchase_value_zar,cpa_zar,roas,plays,thruplays,p100,thru_per_play,source
18109345202471107,2,PASTRY_TEST_W1_5_HAND_CREAMS_BY_NEED_180; W1__05__HAND_CREAMS_BY_NEED,440.42,9257,236,200,44,17,5,2715.75,88.08,6.17,8785,875,510,0.1,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18099052280209045,2,PASTRY_TEST_W1_01_CERT_CANARY_1798009857; W1__01__SALICYLIC_ACID_AND_VITAMIN_C,385.31,9037,190,163,47,14,3,2969.0,128.44,7.71,8318,995,371,0.12,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18115459114826723,1,The Pastry Skincare Brightening Oil,368.46,4970,92,82,12,7,1,385.0,368.46,1.04,4599,491,147,0.107,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18585152830028876,1,"A trip for stretch marks,",279.08,2756,130,131,80,28,13,13468.5,21.47,48.26,2480,509,177,0.205,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18168673036456579,2,PASTRY_TEST_W2_9_INNER-THIGH_COMBINATION; W2__04__INNER_THIGH_COMBINATIONS,251.55,4547,93,78,9,4,1,622.25,251.55,2.47,4143,315,262,0.076,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
17948706084037527,2,PASTRY_TEST_W3_11_BODY-WASH_SELECTION_18; W3__01__CHOOSE_BODY_WASH_BY_CONCERN,238.98,5772,205,184,15,13,3,1977.25,79.66,8.27,5291,1144,482,0.216,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18106524350510957,1,160K_Trust,181.83,3464,29,23,9,2,1,545.0,181.83,3.0,0,0,0,,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18409947541159460,2,PASTRY_TEST_W2_8_SIX-WEEK_CUSTOMER_JOURN; W2__03__BODY_CARE_JOURNEY,102.75,1767,31,32,2,2,1,631.75,102.75,6.15,1582,173,21,0.109,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18186499423401828,2,PASTRY_TEST_W1_3_BODY_PIGMENTATION_BY_AR; W1__03__BODY_PIGMENTATION_BY_AREA,97.74,2293,50,46,4,1,1,622.25,97.74,6.37,2030,624,623,0.307,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
17948069391039064,2,PASTRY_TEST_W2_10_PREMIUM_BODY-WASH_FAQ_; W2__05__PASTRY_PREMIUM_FAQ,80.52,1130,27,24,6,3,0,0.0,,0.0,1013,152,42,0.15,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
17954894079204205,2,PASTRY_TEST_W3_14_UNDERARM_ROUTINE_18326; W3__04__UNDERARM_ROUTINE,64.73,868,12,12,6,0,0,0.0,,0.0,820,99,25,0.121,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18072218867407431,1,PASTRY_A1_ZA_BROAD_NEW_EXCL_SIGNALS__PRE,57.16,516,11,10,0,0,0,0.0,,0.0,463,56,10,0.121,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
17901773928549544,2,PASTRY_TEST_W3_15_TOP_FIVE_BEST_SELLERS_; W3__05__FIVE_PRODUCT_GUIDE,34.14,550,14,15,7,2,0,0.0,,0.0,467,67,18,0.143,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18480202000108225,2,PASTRY_TEST_W2_7_KERATOSIS-PILARIS_ROUTI; W2__02__ROUGH_BUMP_ROUTINE,22.68,372,11,10,3,3,0,0.0,,0.0,334,40,2,0.12,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
18092985185039002,1,Nobody_Talks_About_It,0.15,4,0,0,0,0,0,0.0,,0.0,0,0,0,,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
17982298493806433,1,Mini_Kit_Entry,0.05,2,0,0,0,0,0,0.0,,0.0,0,0,0,,sum of ad rows in ad_scorecard_periods.csv L90; reach not summed
