date,orders,net_sales_zar,source
2026-07-07,31,25777.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-08,31,24119.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-09,28,23524.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-10,31,23451.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-11,21,13341.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-12,22,15974.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-13,20,13913.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-14,23,18795.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-15,31,27007.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-16,21,16509.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-17,34,33581.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-18,36,34496.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-19,40,32359.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-20,42,31895.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-21,36,30664.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-22,28,22194.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-23,36,30340.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-24,52,41268.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
