period,since,until,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,effective_status,creative_id,video_id,ig_media_id,conversion_domain,spend_zar,impressions,reach,frequency,cpm_zar,outbound_clicks,outbound_ctr_pct,cost_per_outbound_click_zar,landing_page_views,lpv_per_outbound_click,add_to_cart,atc_per_lpv,initiate_checkout,ic_per_atc,website_purchases,purchase_per_ic,purchase_per_lpv,purchase_value_zar,cpa_zar,attributed_roas,video_plays,thruplays,p25,p50,p75,p95,p100,avg_play_time_s,thruplay_per_play,p25_per_play,p100_per_play,outbound_click_per_play,saves,comments,reactions,ig_follows,source
L28,2026-08-09,2026-09-05,120248284954150393,W4__03__HYALURONIC_HAND_CARE,120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,28740252398891731,1390143549233068,18103775783599432,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284960140393,W5__03__HAND_CARE_ROUTINE,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,1062475416522925,1516950890188090,17943382473449613,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284958260393,W5__02__ANTI_PIGMENTATION_HAND_CARE,120248284920020393,PASTRY_W5_INTL_WORLDWIDE_SHOPPING_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,4535558553351159,1083181767593032,18128696389679709,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284955030393,W4__04__EVENING_BODY_CARE_ADD_ON,120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,2622955271467210,1805359010599170,18052883933565498,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284949000393,W4__01__BODY_CARE_PAIRING,120248284918900393,PASTRY_W4_INTL_WORLDWIDE_FULL_SIGNAL_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,1759622798395052,1593719419079376,17942244288301078,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284969850393,W6__04__NIACINAMIDE_BODY_MIST,120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,2029900707640980,1593896072410117,18387364795161272,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284968390393,W6__03__BRIGHTENING_BODY_CARE_RESET,120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,1535307781176899,1434837162027961,18107225423144345,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284966600393,W6__02__EVERYDAY_HAND_CARE,120248284921000393,PASTRY_W6_INTL_WORLDWIDE_SKINCARE_INTENT_TEST,120248284912210393,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828,ACTIVE,897164369855291,2016963935621701,18350022016172587,pastryskincare.co.za,0.0,0,0,,,0,,,0,,0,,0,,0,,,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284944650393,W3__03__BODY_SPECIFIC_SERUM,120248284917990393,PASTRY_W3_ZA_SHOPPING_INTENT_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1760670345281405,1040029292069207,18101142794223347,pastryskincare.co.za,1353.33,22910,17389,1.3175,59.07,477,2.082,2.84,441,0.925,126,0.286,36,0.286,9,0.25,0.0204,8738.25,150.37,6.46,21572,4037,4149,2357,1557,1157,902,10,0.187,0.192,0.042,0.0221,21,6,95,5,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284922900393,W1__01__SALICYLIC_ACID_AND_VITAMIN_C,120248284913190393,PASTRY_W1_ZA_FULL_SIGNAL_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,2050311515844483,1794498635041481,18099052280209045,pastryskincare.co.za,102.09,2494,2316,1.076857,40.93,55,2.205,1.86,49,0.891,15,0.306,5,0.333,1,0.2,0.0204,1584.0,102.09,15.52,2357,267,354,214,151,111,97,7,0.113,0.15,0.041,0.0233,11,1,12,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
