campaign_id,campaign,ad_group,search_term,conversion_action,all_conversions,all_conversions_value,source
23654472671,Pastry_Shopping,Pastry_All_Products,vanilla body scrub,Google Shopping App Purchase,1,1119,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,wild roll on deodorant,Google Shopping App Purchase,1,622.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pantry body wash,Google Shopping App Purchase,1,631.99,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pantry skincare,Pastry Skincare (web) purchase,1,345,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry beauty,Google Shopping App Purchase,1,1122.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body care,Google Shopping App Purchase,1,890.0,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body cream,Google Shopping App Purchase,1,1457.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body lotion price,Google Shopping App Purchase,1,782,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body oil,Google Shopping App Purchase,1,631.75,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry body products,Google Shopping App Purchase,1,898.28,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry face products,Google Shopping App Purchase,1,345,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry glycolic acid body wash,Google Shopping App Purchase,1,631.75,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry online,Google Shopping App Purchase,1,295,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry online,Pastry Skincare (web) purchase,1,295,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry products,Pastry Skincare (web) purchase,1,925,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry products at clicks,Google Shopping App Purchase,1,999,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin care products,Google Shopping App Purchase,1,622.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin care products,Pastry Skincare (web) purchase,1,622.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare clicks,Pastry Skincare (web) purchase,1,345,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare hand cream,Google Shopping App Purchase,1,465,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare hand cream,Pastry Skincare (web) purchase,1,345,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare south africa,Google Shopping App Purchase,1,631.75,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare south africa,Pastry Skincare (web) purchase,1,631.75,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skincare woolworths,Google Shopping App Purchase,1,290,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry south africa,Google Shopping App Purchase,1,1257.25,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pasty skin,Pastry Skincare (web) purchase,1,1470,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,skin pastry,Google Shopping App Purchase,1,385,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,www pastryskincare co za,Google Shopping App Purchase,1,345,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Glycolic Body Wash,glycolic acid body wash,Google Shopping App Purchase,1,742.25,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Glycolic Body Wash,glycolic acid body wash,Pastry Skincare (web) purchase,1,622.25,raw/53_stv_purchase_actions_90d.json (166 rows)
24142894204,Pastry | Search | Product High Intent | 2026-08-14,Product | Niacinamide Body Lotion,pastry niacinamide lotion,Google Shopping App Purchase,1,1096.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Skincare,pastry,Pastry Skincare (web) purchase,1,1384,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Skincare,pastry cosmetics,Google Shopping App Purchase,1,635,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Skincare,pastry products,Google Shopping App Purchase,1,742.25,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Skincare,pastry skincare,Pastry Skincare (web) purchase,1,821.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Skincare,the pastry,Google Shopping App Purchase,1,765.0,raw/53_stv_purchase_actions_90d.json (166 rows)
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,Pastry Hand Cream,pastry hand cream,Google Shopping App Purchase,1,345,raw/53_stv_purchase_actions_90d.json (166 rows)
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,Brightening Body Oil,lelive body oil,Google Shopping App Purchase,1,999,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry skin products,Pastry Skincare (web) purchase,0.9954,333.71,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry cosmetics,Pastry Skincare (web) purchase,0.9898,1197.72,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,dove beauty,Google Shopping App Purchase,0.9726,899.62,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,mandelic acid deodorant,Google Shopping App Purchase,0.9175,316.55,raw/53_stv_purchase_actions_90d.json (166 rows)
23614843633,Search-bodycare,Ad group 1,the pastry,Google Shopping App Purchase,0.8878,288.53,raw/53_stv_purchase_actions_90d.json (166 rows)
23614843633,Search-bodycare,Ad group 1,pastry body lotion,Google Shopping App Purchase,0.8878,560.85,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,dr teals scrub,Google Shopping App Purchase,0.7551,260.52,raw/53_stv_purchase_actions_90d.json (166 rows)
23614294762,Search-pastryskincare,Ad group 1,pastry skin products,Google Shopping App Purchase,0.6861,667.58,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,hyaluronic acid uses,Google Shopping App Purchase,0.6667,725.67,raw/53_stv_purchase_actions_90d.json (166 rows)
