merchant_center_id,feed_label,language,item_id,title,price_zar,availability,status,product_type,issues,source
5692060761,ZAR_29152772337,en,shopify_ZZ_9319891960049_46999855759601,"Pastry Skincare Salicylic Acid & Niacinamide Mini Kit 250ml, 250ml / Peach Bouquet & Grapefruit",385.0,IN_STOCK,NOT_ELIGIBLE,gift set,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8825020055793_46213149163761,"Pastry Skincare Vitamin C Body Cream 250ml, 250ml / Fragrance Free",285.0,IN_STOCK,NOT_ELIGIBLE,body cream,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_9322850550001_46993417961713,"Pastry Skincare Glycolic Acid Body Wash 500ml, Fragrance Free / 500ml / Pump bottle",330.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772641226993_46009746292977,"Pastry Skincare Niacinamide Body Butter 250ml, 250ml / Grapefruit Butter Swirl",210.0,IN_STOCK,NOT_ELIGIBLE,body butter,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8825004228849_46213067899121,"Pastry Skincare BHA Overnight Body Balm 200ml, 200ml / Fragrance free",385.0,IN_STOCK,NOT_ELIGIBLE,body balm,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772643487985_46213101650161,"Pastry Skincare Salicylic Acid Body Wash 500ml, 500ml / Fragrance Free / Pump & Cap",335.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8818191630577_46989386907889,Pastry Skincare Anti-Pigment Hand Cream SPF30 75ml,345.0,OUT_OF_STOCK,NOT_ELIGIBLE,hand cream,image_unwanted_overlays; not_eligible_in_any_campaign; not_eligible_out_of_stock,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_9322850550001_46993418027249,"Pastry Skincare Glycolic Acid Body Wash 500ml, Pomegranate / 500ml / Pump bottle",335.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_9322850550001_46993417994481,"Pastry Skincare Glycolic Acid Body Wash 500ml, Fragrance Free / 500ml / Flip-top",335.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8825004228849_46213068980465,"Pastry Skincare BHA Overnight Body Balm 200ml, 200ml / Rose",385.0,IN_STOCK,NOT_ELIGIBLE,body balm,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772641751281_46009748521201,"Pastry Skincare Niacinamide Body Lotion 500ml, 500ml / Fragrance Free",325.0,IN_STOCK,NOT_ELIGIBLE,body lotion,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772640178417_46009743147249,"Pastry Skincare Hyaluronic Acid Body Lotion 500ml, Fragrance Free / 500ml",290.0,IN_STOCK,NOT_ELIGIBLE,body lotion,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_9322850550001_46993418060017,"Pastry Skincare Glycolic Acid Body Wash 500ml, Pomegranate / 500ml / Flip-top",340.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772643487985_46009756352753,"Pastry Skincare Salicylic Acid Body Wash 500ml, 500ml / Peach Bouquet / Pump",335.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_9470466588913_47786076537073,"Pastry Skincare Body Acne Busting Combo Set, Peach Bouquet & Grapefruit / 500ml",865.0,IN_STOCK,NOT_ELIGIBLE,gift set,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772643487985_46213101682929,"Pastry Skincare Salicylic Acid Body Wash 500ml, 500ml / Peach Bouquet / Pump & Cap",340.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772643487985_46009756287217,"Pastry Skincare Salicylic Acid Body Wash 500ml, 500ml / Citrus Burst / Pump",335.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772638114033_46213001543921,Pastry Skincare BHA Body Gel Serum 30ml,210.0,IN_STOCK,NOT_ELIGIBLE,body serum,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772636180721_46009731875057,"Pastry Skincare Anti Pigmentation Deodorant 50ml, 50ml / Fragrance Free",250.0,IN_STOCK,NOT_ELIGIBLE,deodorant,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772640768241_46009745408241,"Pastry Skincare Hyaluronic Acid Hand Cream 75ml, 75ml / coconut",205.0,OUT_OF_STOCK,NOT_ELIGIBLE,hand cream,not_eligible_in_any_campaign; not_eligible_out_of_stock,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_9598972199153_48196957405425,"Mandelic Acid Body Wash for Hyperpigmentation | Pastry Skincare, Fragrance Free",545.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772640178417_46009743114481,"Pastry Skincare Hyaluronic Acid Body Lotion 500ml, Vanilla / 500ml",290.0,OUT_OF_STOCK,NOT_ELIGIBLE,body lotion,not_eligible_in_any_campaign; not_eligible_out_of_stock,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8825020055793_46213149196529,"Pastry Skincare Vitamin C Body Cream 250ml, 250ml / Mandarin",295.0,IN_STOCK,NOT_ELIGIBLE,body cream,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772642341105_46213088379121,Pastry Skincare Niacinamide SPF50 Sunscreen 80ml,465.0,IN_STOCK,NOT_ELIGIBLE,sunscreen,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
5692060761,ZAR_29152772337,en,shopify_ZZ_8772643487985_46213101617393,"Pastry Skincare Salicylic Acid Body Wash 500ml, 500ml / Citrus Burst / Pump & Cap",340.0,IN_STOCK,NOT_ELIGIBLE,body wash,not_eligible_in_any_campaign,"raw/37_shopping_product.json (shopping_product, captured 2026-09-06 ~10:21 UTC)"
