campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions_primary_mixed,conversions_value_primary_mixed,all_conversions,source
23614294762,Search-pastryskincare,193410155229,Ad group 1,pastry body cream,NONE,skincare for sensitive skin,BROAD,BROAD,1,1,17.32584,0,0,28,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry cosmetics,NONE,pastry skin,EXACT,NEAR_EXACT,28,15,17.31,0.9898,1197.72,22.9898,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry salicylic acid body wash,NONE,pastry skin care,BROAD,NEAR_PHRASE,50,10,17.300704,3,49.37,45.689,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,the ordinary pigmentation,NONE,pigmentation correction serum,PHRASE,NEAR_PHRASE,1,1,17.24,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,cera glow oil clicks,NONE,body brightening oil,PHRASE,NEAR_PHRASE,3,1,17.17,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,niacinamide serum clicks,NONE,niacinamide pigmentation serum,PHRASE,NEAR_PHRASE,45,2,17.12,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare dischem,NONE,pastry skincare,BROAD,PHRASE,84,12,17.081929,0.9969,16.36,18.5331,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,tranexamic serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,9,1,17.02,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,oh so heavenly luminous glow body gel oil reviews,NONE,body brightening oil,PHRASE,NEAR_PHRASE,2,1,16.43,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693549,Salicylic Body Wash,salicylic acid body wash dischem,NONE,salicylic body wash,PHRASE,PHRASE,5,1,16.39,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,dr davey glow body oil,NONE,body brightening oil,PHRASE,NEAR_PHRASE,14,1,16.27,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,axis y dark spot serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,46,1,16.22,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,best txa serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,5,1,16.21,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614294762,Search-pastryskincare,193410155229,Ad group 1,pastry skin products,NONE,skincare for sensitive skin,BROAD,BROAD,13,4,16.17,0,0,9.433,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry sunscreen,ADDED,pastry sunscreen,EXACT,EXACT,95,18,16.149715,0,0,16.5181,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,axis y dark spot correcting glow serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,22,1,15.94,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,198582692869,Pastry Skincare,pastry skincare store near me,NONE,pastry skincare shop,EXACT,NEAR_EXACT,8,1,15.83,0,0,0,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614294762,Search-pastryskincare,193410155229,Ad group 1,face primer for oily skin,NONE,skincare for sensitive skin,BROAD,BROAD,1,1,15.736245,0,0,0,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,www pastryskincare co za,NONE,pastry skin care,BROAD,PHRASE,20,12,15.59,0,0,17,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,l oreal dark spot serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,1,1,15.44,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,aobenz serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,4,1,15.14,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660112718,Pastry_BodyWash_Search,194151132373,Ad group 1,pantry body wash,NONE,pastry body wash,EXACT,NEAR_EXACT,34,6,15.11,0,0,11.9843,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
