campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions,conversions_value,all_conversions,source
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pantry body lotion,NONE,pastry lotion,EXACT,NEAR_EXACT,1,1,0.36,0,0,1,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry anti pigmentation deodorant,NONE,pastry skin,PHRASE,NEAR_PHRASE,10,1,0.36,0,0,1,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skin care near me,NONE,pastry skincare near me,EXACT,NEAR_EXACT,7,1,0.36,0,0,1,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,where can i buy pastry skincare,NONE,pastry skincare,EXACT,NEAR_EXACT,7,1,0.33368,0,0,0.1265,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry sa,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,1,0.3,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry sandton city,NONE,pastry skin,PHRASE,NEAR_PHRASE,1,1,0.26,0,0,1,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body wash price,NONE,pastry body wash,EXACT,NEAR_EXACT,9,3,0.23,0,0,1,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare price,NONE,buy pastry skincare,EXACT,NEAR_EXACT,6,1,0.17,0,0,7,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare menlyn,ADDED,pastry skincare menlyn,EXACT,EXACT,16,1,0.13,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare shop near me,NONE,where to buy pastry skincare,EXACT,NEAR_EXACT,5,1,0.13,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
